"trait.name","rank","observed","null_mean","null_sd","null_lower","null_upper","n_null","p_greater","p_less","p_two_sided","SES"
"Ecto","phylum",0.0196083636363636,0.00549359615069615,0.00317460597600441,0.000900842272727273,0.0131143409090909,999,0.001,1,0.001,4.44614783452038
"Ecto","class",0.0117495,0.0061747779034583,0.00258603689479227,0.00206083216911765,0.0119115661904762,999,0.032,0.969,0.032,2.15570091353608
"Ecto","order",0.00240490625,0.000787179324135851,0.000631120050980727,0.0000346634191176471,0.00241721335685484,999,0.029,0.972,0.029,2.56326339711484
"Ecto","family",0.00066876,0.000435022751305475,0.000436252943014658,0.00000976291208791209,0.00149082774725275,999,0.216,0.785,0.505,0.535783775071683
"Ecto","genus",0.00252553703703704,0.00827744780688083,0.00107272288873242,0.00620237658979734,0.0104051708791209,999,1,0.001,0.001,-5.36197263082598
"LAI","phylum",0.0192005454545455,0.00533485642005642,0.00328506793815981,0.000933627272727273,0.0130513181818182,999,0.005,0.996,0.005,4.22082261174061
"LAI","class",0.00225258823529412,0.00606066600469787,0.00271604136105377,0.00197056647058824,0.012230115625,999,0.962,0.039,0.128,-1.40206913783017
"LAI","order",0.00101002941176471,0.000794463637434722,0.000680254469029344,0.0000407888731060606,0.00269263235294118,999,0.286,0.715,0.768,0.31688990538728
"LAI","family",0.000438241379310345,0.000463435653809778,0.000473635633460659,0.0000406275641025641,0.00190677222222222,999,0.358,0.643,0.958,-0.0531933678962216
"LAI","genus",0.00211671428571429,0.00822649364260102,0.0011693426911433,0.0060176774952919,0.010557528546471,999,1,0.001,0.001,-5.22496903872809
"Moisture","phylum",0.0080947,0.0053269077987078,0.00289216901235158,0.000935257727272727,0.0122208954545455,999,0.16,0.841,0.312,0.956995317172613
"Moisture","class",0.00351926666666667,0.00610719900481984,0.0024898231180717,0.0021030325,0.0117806975,999,0.859,0.142,0.28,-1.03940409235073
"Moisture","order",0.000945935483870968,0.000766721559888129,0.000561845908099251,0.0000317878787878788,0.00222009959893048,999,0.296,0.705,0.736,0.31897344342887
"Moisture","family",0.0000144615384615386,0.000440436549428709,0.000353288091455825,0.0000124759259259259,0.00136495192307692,999,0.973,0.028,0.138,-1.20574404082464
"Moisture","genus",0.00505275,0.00823662767196067,0.00102905418407094,0.00624984210526316,0.0101815248931624,999,0.999,0.002,0.003,-3.09398447744047
"Temperature","phylum",0.0147203,0.00549490546910547,0.00312362912158792,0.000974354545454545,0.012384785,999,0.008,0.993,0.008,2.95342186021262
"Temperature","class",0.0172646923076923,0.00613203897132427,0.00251592128526554,0.00210901854166667,0.0115575825630252,999,0.003,0.998,0.003,4.42488141483848
"Temperature","order",0.00123366666666667,0.000793494339356088,0.00060328400713451,0.0000645787878787879,0.00238828548387097,999,0.195,0.806,0.438,0.72962704481645
"Temperature","family",0.000793291666666667,0.000467437530511863,0.000347167240474139,0.0000397282407407408,0.00132755106837607,999,0.154,0.847,0.298,0.938608538379867
"Temperature","genus",0.00397705555555556,0.00827214793881582,0.00099705385875786,0.00618984196428571,0.0101612053571429,999,1,0.001,0.001,-4.30778372254747
"pC","phylum",0.0183875454545455,0.00511087246337246,0.00490330678196977,0.000521975454545455,0.0147263277272727,999,0.023,0.978,0.035,2.70769780100103
"pC","class",0.00343217647058823,0.00577348238168949,0.00371587993443081,0.001128146875,0.0149445952941176,999,0.744,0.257,0.492,-0.630081152355611
"pC","order",0.00106911764705882,0.00077347914931839,0.000911367737355126,0.000026130303030303,0.00367948770053476,999,0.201,0.8,0.701,0.324389909388721
"pC","family",0.0026067037037037,0.000473676039992907,0.000823209372170989,0.000030209126984127,0.00325868408333333,999,0.027,0.974,0.027,2.5911119768784
"pC","genus",0.00434689090909091,0.00816422816574195,0.00154000927591108,0.00523131494708995,0.0110611277777778,999,0.995,0.006,0.009,-2.47877549594153
"pH","phylum",0.0228335,0.00563862487032487,0.00329561251079546,0.00110062727272727,0.0132740181818182,999,0.002,0.999,0.002,5.2175051142541
"pH","class",0.00860786666666667,0.00608706698091649,0.00269233937487776,0.00214493529411765,0.0124172666666667,999,0.168,0.833,0.344,0.936286008098301
"pH","order",0.000876129032258065,0.000762211096780754,0.000687559446867243,0.0000327777922077922,0.00252341151515151,999,0.326,0.675,0.883,0.165684488805091
"pH","family",0.00102965384615385,0.000479249244062865,0.000430342766446688,0.0000473,0.0016643445,999,0.093,0.908,0.093,1.27899117867284
"pH","genus",0.002872,0.00818567080087562,0.00113306492556236,0.00605081421957672,0.0104821043969003,999,1,0.001,0.001,-4.68964370972685
