"trait.name","rank","observed","null_mean","null_sd","null_lower","null_upper","n_null","p_two_sided","SES"
"CRPS","phylum",0.004756,0.00539697903357903,0.00535325232229978,0.000524431818181818,0.0200413,999,0.898,-0.119736376129505
"CRPS","class",0.01606025,0.00615665806428061,0.00410143680155692,0.000974063333333333,0.016296640625,999,0.03,2.41466403479872
"CRPS","order",0.00076675,0.000831852652695565,0.00122905338898811,0.0000224161764705882,0.00454844552083333,999,0.964,-0.0529697515818778
"CRPS","family",0.00065096,0.000450021148680374,0.000860323588284684,0.0000170638176638177,0.00234124433333332,999,0.75,0.233561945825824
"CRPS","genus",0.00592762962962963,0.00833216087984714,0.00189770857094547,0.00438997940559441,0.0116742648148148,999,0.222,-1.2670708701176
"RSQ","phylum",0.0077498,0.00535044984984985,0.00346927294749524,0.000856081818181818,0.015151725,999,0.463,0.691600282382637
"RSQ","class",0.004093,0.00594016422758947,0.00272212033376012,0.00180833256302521,0.01210471625,999,0.493,-0.678575522426648
"RSQ","order",0.000712911764705882,0.000718976415957671,0.00074948473040319,-0.000267596932773109,0.00250327375366569,999,0.994,-0.00809176092023419
"RSQ","family",0.000609714285714286,0.000474137350048712,0.000473603506010553,0.0000423685185185185,0.001787728,999,0.765,0.286266748334741
"RSQ","genus",0.00321641379310345,0.00821293581654707,0.00123963557903491,0.00590535545454546,0.0107708698743386,999,0.001,-4.0306378002909
"RSQ.1","phylum",0.013897,0.00554673487827654,0.00459050312249877,0.000808529166666667,0.0165644454545454,999,0.065,1.81903048508942
"RSQ.1","class",0.00562563636363636,0.00693135478714368,0.00366337755467381,0.00201899258241758,0.0152115357142857,999,0.704,-0.356424748478751
"RSQ.1","order",0.001182,0.000520286561432545,0.00220719801313914,-0.00851705483870968,0.00320521206896552,999,0.281,0.299797949539809
"RSQ.1","family",0.000882666666666667,0.000556000833290491,0.000658811836082149,0.0000364789473684211,0.0027393875,999,0.502,0.495840869099752
"RSQ.1","genus",0.00609588888888889,0.00952731831823438,0.00162343157621695,0.00626804648284846,0.0126924272256729,999,0.036,-2.11368897809767
