"","geoid_2010","HVI_cat","MEAN","asthma","current_percent","potential_percent","neighborhood"
"31",25025000100,18,37.41,10.8,18.6,14.1,"Brighton"
"32",25025000201,16,34.39,10.2,25.8,16.7,"Brighton"
"33",25025000202,16,34.39,10.5,23.6,17.7,"Brighton"
"34",25025000301,17,34.39,10.1,31.7,14.8,"Brighton"
"35",25025000302,16,34.39,10,37.7,18.5,"Brighton"
"36",25025000401,20,37.97,10.2,23.8,12.8,"Brighton"
"37",25025000402,16,34.39,10,32.6,21.3,"Brighton"
"38",25025000502,16,37.97,11.2,28.5,18.9,"Brighton"
"39",25025000503,18,37.97,10,22.9,7.5,"Brighton"
"40",25025000504,18,37.97,10.7,27.2,8.5,"Brighton"
"41",25025000601,16,39.44,10,20.3,15.3,"Brighton"
"42",25025000602,18,37.97,11.3,32.4,12.7,"Brighton"
"43",25025000701,18,37.97,10.2,17.1,8,"Brighton"
"44",25025000703,17,40.89,10.8,9.1,3.3,"Allston"
"45",25025000704,18,40.89,10,10.8,4.5,"Allston"
"46",25025000802,17,40.89,10.5,14.8,7.8,"Brighton"
"47",25025000803,14,40.89,11.7,9.1,11.8,"Fenway"
"48",25025010103,13,39.48,12,12.5,8.1,"Fenway"
"49",25025010104,17,39.48,10.4,13.7,5.8,"Back Bay"
"50",25025010203,16,38.28,10.9,12.1,7,"Fenway"
"51",25025010204,15,39.48,11.4,12.1,4.5,"Fenway"
"52",25025010300,15,38.28,13.2,17,12.4,"Longwood Medical Area"
"53",25025010403,22,38.28,10.2,8.1,3.6,"Back Bay"
"54",25025010404,19,38.28,12.6,13.4,6,"Fenway"
"55",25025010405,17,38.28,12.8,14.7,8.1,"Mission Hill"
"56",25025010408,18,38.4,9.5,17.5,8.6,"Fenway"
"57",25025010500,18,38.28,10.5,13.1,3.3,"Back Bay"
"58",25025010600,16,36.91,9.1,7.4,1.8,"Back Bay"
"59",25025010701,19,37.27,9.3,21.9,2.4,"Back Bay"
"60",25025010702,16,37.27,9.7,24.1,3,"Back Bay"
"61",25025010801,18,37.27,9.4,16.8,3.1,"Back Bay"
"62",25025010802,19,37.27,9.1,19.7,4.3,"Back Bay"
"63",25025020101,19,37.27,9.2,19.4,2,"Back Bay"
"64",25025020200,18,38.22,10.1,13.3,1.7,"West End"
"65",25025020301,18,38.22,9.1,20.7,9.2,"West End"
"66",25025020302,19,35.87,9.7,12.1,5.9,"West End"
"67",25025020303,15,35.87,9.5,14.3,8.1,"North End"
"68",25025030100,18,40.53,9.6,12.5,5.1,"North End"
"69",25025030200,19,40.53,10.3,3.7,2,"North End"
"70",25025030300,17,40.53,9.9,6.8,2.7,"North End"
"71",25025030400,18,40.53,10.2,6.7,3.1,"North End"
"72",25025030500,15,40.53,9.5,7.1,3.9,"North End"
"73",25025040100,15,37.38,9.6,16.4,7.5,"Charlestown"
"74",25025040200,20,37.38,12.2,20.6,7.6,"Charlestown"
"75",25025040300,17,37.38,10.3,14.7,5.5,"Charlestown"
"76",25025040401,16,37.38,10.8,13,13.5,"Charlestown"
"77",25025040600,14,38.39,9.5,15.2,12,"Charlestown"
"78",25025040801,16,37.38,11.2,11.9,8.7,"Charlestown"
"79",25025050101,21,37.97,11.6,12.2,7.3,"East Boston"
"80",25025050200,21,37.97,11.3,12.2,5.9,"East Boston"
"81",25025050300,18,37.97,13.2,9.5,15.2,"East Boston"
"82",25025050400,21,35.67,10.8,9.5,6.2,"East Boston"
"83",25025050500,21,37.62,11.3,9.8,9.3,"East Boston"
"84",25025050600,21,37.62,11,10.6,4.4,"East Boston"
"85",25025050700,21,37.62,11.3,13.4,11.2,"East Boston"
"86",25025050901,20,37.24,11.1,9.1,9.7,"East Boston"
"87",25025051000,18,35.95,11,14.7,19.9,"East Boston"
"88",25025051101,19,31.15,11.3,18.7,19.2,"East Boston"
"89",25025051200,19,37.62,10.3,15.4,11.7,"East Boston"
"90",25025060101,16,32.58,10,12.1,7.8,"South Boston"
"91",25025060200,16,32.58,10.5,15.4,9.7,"South Boston"
"92",25025060301,16,32.58,10.2,16.4,7.5,"South Boston"
"93",25025060400,17,32.58,10,17.3,11.1,"South Boston"
"94",25025060501,15,39.02,9.7,12.2,9.8,"South Boston Waterfront"
"95",25025060600,12,39.02,9.2,4.3,4.8,"South Boston Waterfront"
"96",25025060700,17,39.62,14.7,21.8,10.5,"South Boston"
"97",25025060800,15,39.02,10,10.7,4.3,"South Boston"
"98",25025061000,19,32.58,12.2,15.7,8.1,"South Boston"
"99",25025061101,21,32.58,14.6,33.5,12.6,"Dorchester"
"100",25025061200,14,32.58,9.1,6.5,5.3,"South End"
"101",25025070101,14,35.87,9.7,2.9,1.7,"Leather District"
"102",25025070200,18,31.21,11.3,6.6,3.3,"Bay Village"
"103",25025070300,17,36.91,9.4,16.9,2.1,"Bay Village"
"104",25025070402,21,37.55,10,11.4,2.3,"Bay Village"
"105",25025070500,18,38.61,10.1,25.1,6,"South End"
"106",25025070600,17,38.57,8.7,27.5,2.1,"South End"
"107",25025070700,17,37.91,10.2,22.3,3.3,"South End"
"108",25025070800,18,38.28,10.4,23,6.4,"Roxbury"
"109",25025070900,19,38.57,11.3,19.2,5.7,"Roxbury"
"110",25025071101,18,37.38,10.2,11.9,7,"Roxbury"
"111",25025071201,16,38.61,11.5,8.6,5.3,"South End"
"112",25025080100,18,39.06,12.6,16.9,11.4,"Roxbury"
"113",25025080300,17,38.57,13.8,23.2,13.4,"Roxbury"
"114",25025080401,17,38.57,13.3,21.1,10.9,"Roxbury"
"115",25025080500,20,38.57,13.8,23.2,17,"Roxbury"
"116",25025080601,15,38.28,14.1,15.6,14.1,"Mission Hill"
"117",25025080801,15,38.28,12.9,17.2,14.6,"Mission Hill"
"118",25025080900,17,37.38,10.8,18.6,14.2,"Mission Hill"
"119",25025081001,19,37.38,12.3,18.5,8.7,"Mission Hill"
"120",25025081100,14,36.59,11,31.8,11.5,"Jamaica Plain"
"121",25025081200,19,36.59,12.7,22.5,11.9,"Jamaica Plain"
"122",25025081300,19,29.72,13.9,21.7,12.9,"Jamaica Plain"
"123",25025081400,17,37.67,12.3,31.5,14.7,"Jamaica Plain"
"124",25025081500,18,36.12,13,35.3,18.1,"Roxbury"
"125",25025081700,19,38.57,15.1,27.3,14.6,"Roxbury"
"126",25025081800,19,37.27,14.2,24.7,15.5,"Roxbury"
"127",25025081900,20,29.72,14.6,26,19.2,"Roxbury"
"128",25025082000,20,35.88,14,25.7,16.7,"Roxbury"
"129",25025082100,21,29.72,15.2,23.1,14.8,"Roxbury"
"130",25025090100,20,29.72,15.2,20.4,13,"Roxbury"
"131",25025090200,18,35.64,14.6,17.2,10.2,"Roxbury"
"132",25025090300,18,36.27,14.1,19.6,15.9,"Roxbury"
